"구군","제공연도","동수","세대수","총인구수","남성인구수","여성인구수","시 전체 인구비율","인구밀도"
"부산광역시 해운대구","Oct-22","18","170828","392763","188511","204252","11.7","7621"
"부산광역시 해운대구","Nov-22","18","170637","392291","188227","204064","11.6","7611"
"부산광역시 해운대구","Dec-22","18","170435","391763","187958","203805","11.6","7601"
"부산광역시 해운대구","Jan-23","18","170261","391279","187735","203544","11.6","7592"
"부산광역시 해운대구","Jun-22","18","171960","396120","190250","205870","11.7","7686"
"부산광역시 해운대구","Jul-22","18","172005","395601","189985","205616","11.7","7676"
"부산광역시 해운대구","Aug-22","18","171837","394626","189458","205168","11.7","7657"
"부산광역시 해운대구","Sep-22","18","170998","393151","188716","204435","11.7","7628"
"부산광역시 해운대구","Feb-22","18","172279","399486","191987","207499","11.8","7751"
"부산광역시 해운대구","Mar-22","18","172227","398483","191470","207013","11.8","7732"
"부산광역시 해운대구","Apr-22","18","172217","397957","191257","206700","11.8","7721"
"부산광역시 해운대구","May-22","18","172126","396931","190686","206245","11.7","7701"
"부산광역시 해운대구","Sep-21","18","172237","402554","193562","208992","11.8","7817"
"부산광역시 해운대구","Oct-21","18","172349","402195","193432","208763","11.8","7810"
"부산광역시 해운대구","Nov-21","18","172455","401778","193218","208560","11.8","7802"
"부산광역시 해운대구","Dec-21","18","172397","401131","192901","208230","11.8","7783"
"부산광역시 해운대구","Jan-22","18","172327","400488","192518","207970","11.8","7770"
"부산광역시 해운대구","May-21","18","171558","403908","194388","209520","11.8","7843"
"부산광역시 해운대구","Jun-21","18","171791","403635","194245","209390","11.8","7838"
"부산광역시 해운대구","Jul-21","18","171911","403262","194033","209229","11.8","7830"
"부산광역시 해운대구","Aug-21","18","172076","402709","193728","208981","11.8","7820"
"부산광역시 해운대구","Jan-21","18","171528","406349","195600","210749","11.8","7890"
"부산광역시 해운대구","Feb-21","18","171770","405922","195335","210587","11.8","7882"
"부산광역시 해운대구","Mar-21","18","171352","404748","194836","209912","11.8","7859"
"부산광역시 해운대구","Apr-21","18","171558","404514","194679","209835","11.8","7855"
"부산광역시 해운대구","Sep-20","18","170518","407443","196191","211252","11.8","7916"
"부산광역시 해운대구","Oct-20","18","170815","407492","196181","211311","11.8","7917"
"부산광역시 해운대구","Nov-20","18","171099","407182","196040","211142","11.8","7911"
"부산광역시 해운대구","Dec-20","18","171376","406818","195883","210935","11.8","7899"
"부산광역시 해운대구","Feb-23","18","170331","390489","187324","203165","11.6","7576"
"부산광역시 해운대구","Mar-23","18","170251","389843","186999","202844","11.6","7564"
"부산광역시 해운대구","Apr-23","18","170185","389361","186762","202599","11.6","7555"
"부산광역시 해운대구","May-23","18","170221","389117","186620","202497","11.6","7550"
"부산광역시 해운대구","Mar-20","18","169141","410223","197881","212342","11.9","7970"
"부산광역시 해운대구","Apr-20","18","169357","410242","197838","212404","11.9","7971"
"부산광역시 해운대구","May-20","18","169532","409307","197310","211997","11.8","7952"
"부산광역시 해운대구","Jun-20","18","169825","408732","196993","211739","11.8","7941"
"부산광역시 해운대구","Jul-20","18","170255","408611","196894","211717","11.8","7939"
"부산광역시 해운대구","Aug-20","18","170290","407804","196437","211367","11.8","7923"
"부산광역시 해운대구","Oct-19","18","168247","411176","198486","212690","11.8","7989"
"부산광역시 해운대구","Nov-19","18","168454","411346","198530","212816","11.9","7992"
"부산광역시 해운대구","Dec-19","18","168650","411293","198499","212794","11.9","7991"
"부산광역시 해운대구","Jan-20","18","168851","411497","198570","212927","11.9","7995"
"부산광역시 해운대구","Feb-20","18","168916","410898","198269","212629","11.9","7983"
"부산광역시 해운대구","Apr-19","18","167666","413611","199741","213870","11.9","8036"
"부산광역시 해운대구","May-19","18","167782","413160","199482","213678","11.9","8027"
"부산광역시 해운대구","Jun-19","18","167790","412658","199239","213419","11.9","8017"
"부산광역시 해운대구","Jul-19","18","167827","412170","199000","213170","11.9","8008"
"부산광역시 해운대구","Aug-19","18","167937","411693","198746","212947","11.8","7999"
"부산광역시 해운대구","Sep-19","18","168095","411445","198642","212803","11.8","7994"
"부산광역시 해운대구","2018","18","166156","415530","201072","214458","11.9","8073"
"부산광역시 해운대구","2018","18","166357","415413","200994","214419","11.9","8071"
"부산광역시 해운대구","Jan-19","18","166906","414415","200323","214092","11.9","8052"
"부산광역시 해운대구","Feb-19","18","167223","414258","200209","214049","11.9","8049"
"부산광역시 해운대구","Mar-19","18","167490","413911","199992","213919","11.9","8042"
"부산광역시 해운대구","2018","18","166545","414834","200643","214191","11.9","8060"
"부산광역시 해운대구","2018","18","166748","414611","200474","214137","11.9","8055"
"부산광역시 해운대구","2018","18","165529","417174","202167","215007","11.9","8105"
"부산광역시 해운대구","2018","18","165796","417100","202104","214996","11.9","8104"
"부산광역시 해운대구","2018","18","165857","416930","201965","214965","11.9","8100"
"부산광역시 해운대구","2018","18","166035","415896","201333","214563","11.9","8080"
"부산광역시 해운대구","2017","18","165002","417161","202206","214955","11.9","8105"
"부산광역시 해운대구","2018","18","165184","416956","202085","214871","11.9","8101"
"부산광역시 해운대구","2018","18","165959","416668","201772","214896","11.9","8095"
"부산광역시 해운대구","2018","18","165966","416311","201582","214729","11.9","8088"
"부산광역시 해운대구","2018","18","166534","415127","200795","214332","11.9","8065"
"부산광역시 해운대구","2017","18","165291","422005","204775","217230","11.9","8199"
"부산광역시 해운대구","2017","18","165325","421409","204439","216970","11.9","8187"
"부산광역시 해운대구","2017","18","165331","420825","204161","216664","11.9","8176"
"부산광역시 해운대구","2017","18","165227","419243","203289","215954","11.9","8145"
"부산광역시 해운대구","2017","18","165111","418275","202764","215511","11.9","8126"
"부산광역시 해운대구","2017","18","165076","417779","202533","215246","11.9","8117"
"부산광역시 해운대구","2017","18","165279","419984","203699","216285","11.9","8160"
"부산광역시 해운대구","2017","18","165314","424532","206120","218412","12","8248"
"부산광역시 해운대구","2017","18","165334","423609","205667","217942","12","8230"
"부산광역시 해운대구","2017","18","165300","423107","205345","217762","11.9","8220"
"부산광역시 해운대구","2017","18","165314","422674","205131","217543","11.9","8212"
"부산광역시 해운대구","2013","18","161081","429109","209230","219879","12.04","8337"
"부산광역시 해운대구","2014","18","162347","427460","208414","219046","12.02","8305"
"부산광역시 해운대구","2015","17","164386","428004","208501","219503","12","8316"
"부산광역시 해운대구","2016","18","165290","425036","206459","218577","12","8258"
"부산광역시 해운대구","2017","18","165002","417161","202206","214955","11.9","8105"
"부산광역시 해운대구","2007","18","148828","426138","209496","216642","11.79","8283"
"부산광역시 해운대구","2008","18","150668","426949","209488","217461","11.87","8297"
"부산광역시 해운대구","2009","18","153019","427619","209595","218024","11.96","8310"
"부산광역시 해운대구","2010","18","157282","429477","210163","219314","11.93","8346"
"부산광역시 해운대구","2011","18","158114","428663","209690","218973","11.95","8330"
"부산광역시 해운대구","2012","18","160053","431526","210759","220767","12.08","8386"
"부산광역시 중구","Oct-22","9","24056","42136","20846","21290","1.3","14889"
"부산광역시 중구","Nov-22","9","24012","42001","20778","21223","1.2","14841"
"부산광역시 중구","Dec-22","9","23960","41909","20725","21184","1.2","14809"
"부산광역시 중구","Jan-23","9","23965","41913","20703","21210","1.2","14810"
"부산광역시 중구","Feb-23","9","24123","41957","20738","21219","1.2","14826"
"부산광역시 중구","Jun-22","9","24304","42692","21173","21519","1.3","15086"
"부산광역시 중구","Jul-22","9","24275","42594","21124","21470","1.3","15051"
"부산광역시 중구","Aug-22","9","24265","42455","21055","21400","1.3","15002"
"부산광역시 중구","Sep-22","9","24107","42267","20951","21316","1.3","14935"
"부산광역시 중구","Feb-22","9","24129","42680","21156","21524","1.3","15081"
"부산광역시 중구","Mar-22","9","24218","42725","21157","21568","1.3","15097"
"부산광역시 중구","Apr-22","9","24269","42773","21193","21580","1.3","15114"
"부산광역시 중구","May-22","9","24303","42680","21186","21494","1.3","15081"
"부산광역시 중구","Oct-21","9","23909","42734","21189","21545","1.3","15100"
"부산광역시 중구","Nov-21","9","23898","42602","21119","21483","1.3","15054"
"부산광역시 중구","Dec-21","9","23925","42609","21120","21489","1.3","15056"
"부산광역시 중구","Jan-22","9","23979","42636","21149","21487","1.3","15066"
"부산광역시 중구","Jun-21","9","23583","42619","21140","21479","1.2","15060"
"부산광역시 중구","Jul-21","9","23714","42734","21213","21521","1.3","15100"
"부산광역시 중구","Aug-21","9","23820","42768","21216","21552","1.3","15112"
"부산광역시 중구","Sep-21","9","23878","42760","21217","21543","1.3","15110"
"부산광역시 중구","Jan-21","9","23923","43657","21599","22058","1.3","15427"
"부산광역시 중구","Feb-21","9","24010","43629","21598","22031","1.3","15417"
"부산광역시 중구","Mar-21","9","23951","43438","21511","21927","1.3","15349"
"부산광역시 중구","Apr-21","9","24006","43362","21452","21910","1.3","15322"
"부산광역시 중구","May-21","9","24022","43216","21366","21850","1.3","15271"
"부산광역시 중구","Sep-20","9","23682","43644","21660","21984","1.3","15422"
"부산광역시 중구","Oct-20","9","23723","43648","21652","21996","1.3","15423"
"부산광역시 중구","Nov-20","9","23773","43571","21609","21962","1.3","15396"
"부산광역시 중구","Dec-20","9","23847","43617","21621","21996","1.3","15412"
"부산광역시 중구","Mar-23","9","24099","41862","20698","21164","1.2","14792"
"부산광역시 중구","Apr-23","9","24061","41890","20662","21228","1.2","14802"
"부산광역시 중구","May-23","9","24066","41732","20594","21138","1.2","14746"
"부산광역시 중구","Mar-20","9","23305","44031","21839","22192","1.3","15559"
"부산광역시 중구","Apr-20","9","23313","43931","21791","22140","1.3","15523"
"부산광역시 중구","May-20","9","23406","43835","21755","22080","1.3","15489"
"부산광역시 중구","Jun-20","9","23456","43722","21702","22020","1.3","15449"
"부산광역시 중구","Jul-20","9","23544","43721","21688","22033","1.2","15449"
"부산광역시 중구","Aug-20","9","23626","43691","21663","22028","1.3","15439"
"부산광역시 중구","Oct-19","9","23108","44213","21983","22230","1.3","15623"
"부산광역시 중구","Nov-19","9","23153","44169","21959","22210","1.3","15607"
"부산광역시 중구","Dec-19","9","23160","44072","21904","22168","1.3","15573"
"부산광역시 중구","Jan-20","9","23189","44107","21902","22205","1.3","15586"
"부산광역시 중구","Feb-20","9","23272","44115","21899","22216","1.3","15588"
"부산광역시 중구","May-19","9","23037","44436","22108","22328","1.3","15702"
"부산광역시 중구","Jun-19","9","23082","44474","22101","22373","1.3","15715"
"부산광역시 중구","Jul-19","9","23125","44476","22107","22369","1.3","15716"
"부산광역시 중구","Aug-19","9","23095","44278","22017","22261","1.3","15646"
"부산광역시 중구","Sep-19","9","23093","44223","21987","22236","1.3","15627"
"부산광역시 중구","2018","9","23025","45121","22413","22708","1.3","15944"
"부산광역시 중구","2018","9","23017","45064","22387","22677","1.3","15924"
"부산광역시 중구","Jan-19","9","22953","44734","22212","22522","1.3","15807"
"부산광역시 중구","Feb-19","9","23017","44673","22194","22479","1.3","15786"
"부산광역시 중구","Mar-19","9","23043","44635","22163","22472","1.3","15772"
"부산광역시 중구","Apr-19","9","23051","44575","22152","22423","1.3","15751"
"부산광역시 중구","2018","9","23006","44952","22330","22622","1.3","15884"
"부산광역시 중구","2018","9","22975","44852","22255","22597","1.3","15849"
